Nterm_length	percentage(%)
22	35.85
20	16.11
24	9.79
23	5.73
21	5.26
25	5.01
26	2.97
28	2.04
19	1.86
27	1.59
0	0.96
29	0.81
18	0.79
34	0.68
31	0.67
30	0.63
32	0.51
35	0.47
40	0.46
17	0.46
36	0.41
33	0.41
37	0.41
38	0.35
39	0.32
8	0.31
42	0.28
13	0.27
15	0.26
41	0.26
46	0.25
43	0.23
45	0.2
14	0.2
47	0.2
16	0.19
44	0.17
12	0.16
48	0.15
49	0.14
52	0.14
51	0.13
50	0.12
11	0.12
53	0.1
9	0.1
54	0.09
3	0.08
55	0.07
59	0.06
57	0.06
10	0.06
5	0.06
60	0.06
58	0.05
56	0.05
62	0.05
61	0.05
73	0.05
63	0.05
6	0.04
72	0.04
64	0.04
2	0.04
7	0.04
68	0.03
65	0.03
4	0.03
1	0.03
67	0.03
74	0.03
70	0.03
71	0.02
69	0.02
76	0.02
66	0.02
75	0.01
88	0.01
78	0.01
77	0.01
79	0.01
85	0.01
81	0.01
83	0.01
80	0.01
82	0.01
84	0.01
87	0.0
89	0.0
86	0.0
91	0.0
96	0.0
93	0.0
97	0.0
95	0.0
94	0.0
101	0.0
92	0.0
99	0.0
90	0.0
104	0.0
98	0.0
