count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen
0	ABBA01241351.1	230	769	0	769	+	7.6e-101	536
0	ABSL01104307.1	230	769	0	769	+	7.6e-101	536
0	ABBA01204511.1	1	790	0	794	+	6.8e-83	765
0	ABSL01150150.1	1	790	0	794	+	6.8e-83	765
0	ABBA01250610.1	1	547	0	847	+	2.4e-74	535
0	ABSL01092539.1	1	547	0	847	+	2.4e-74	535
0	ABBA01078021.1	347	1	0	773	-	1.2e-54	344
0	ABSL01243510.1	347	1	0	773	-	1.2e-54	344
0	ABBA01092138.1	1	296	0	748	+	5.8e-52	293
0	ABSL01179967.1	1	296	0	748	+	5.8e-52	293
0	ABBA01095081.1	920	1266	493	1266	+	3.4e-51	342
0	ABSL01166674.1	920	1266	493	1266	+	3.4e-51	342
0	ABBA01128601.1	290	1	0	745	-	5.3e-50	286
0	ABSL01233304.1	290	1	0	745	-	5.3e-50	286
0	ABBA01127692.1	665	957	211	1067	+	1.1e-37	275
0	ABSL01235104.1	665	957	211	1067	+	1.1e-37	275
0	ABBA01218107.1	769	473	21	769	-	6.3e-36	286
0	ABSL01134520.1	769	473	21	769	-	6.3e-36	286
0	ABBA01081058.1	768	1061	315	1139	+	6.9e-36	275
0	ABSL01229904.1	768	1061	315	1139	+	6.9e-36	275
0	ABBA01254027.1	319	1	0	733	-	2.1e-33	315
0	ABSL01089170.1	319	1	0	733	-	2.1e-33	315
0	ABBA01238074.1	1	211	0	705	+	2.8e-32	207
0	ABSL01041239.1	1	211	0	705	+	2.8e-32	207
0	ABBA01253791.1	772	372	0	772	-	3.3e-31	378
0	ABSL01088683.1	772	372	0	772	-	3.3e-31	378
0	ABBA01189607.1	243	2	0	722	-	3e-24	220
0	ABSL01167097.1	243	2	0	722	-	3e-24	220
0	ABBA01079148.1	1094	1325	610	1326	+	9.5e-21	219
0	ABSL01238847.1	1094	1325	610	1326	+	9.5e-21	219
