count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	JAAOOA010000002.1	35429072	35429982	35429043	35429982	+	2.8e-141	869	939
2	JAAOOA010000002.1	35429072	35429982	35429058	35429982	+	2.8e-141	869	924
3	JAAOOA010000002.1	35429072	35429982	35429070	35429982	+	2.8e-141	869	912
4	JAAOOA010000002.1	35439558	35440478	35439538	35440474	+	1.8e-122	890	936
5	JAAOOA010000002.1	35480673	35481593	35480653	35481589	+	1.8e-122	890	936
6	JAAOOA010000002.1	35547857	35548740	35547903	35548839	+	1.4e-98	857	936
7	JAAOOA010000002.1	35547857	35548740	35547963	35548839	+	1.4e-98	857	876
8	JAAOOA010000002.1	35531775	35532660	35531706	35532681	+	3.1e-98	856	975
9	JAAOOA010000033.1	7132608	7131634	7132608	7131642	-	9.4e-96	922	966
10	JAAOOA010000033.1	7148691	7147720	7148692	7147696	-	1.4e-91	919	996
11	JAAOOA010000033.1	7156962	7156015	7156974	7156020	-	4.4e-86	877	954
12	JAAOOA010000079.1	790591	789703	790592	789677	-	5.3e-64	869	915
13	JAAOOA010000100.1	188301	187349	188301	187356	-	2.5e-167	927	945
14	JAAOOA010000100.1	188301	187349	188241	187356	-	2.5e-167	927	885
15	JAAOOA010000100.1	18093	19040	18092	19037	+	1.2e-165	922	945
16	JAAOOA010000100.1	18093	19040	18128	19037	+	1.2e-165	922	909
17	JAAOOA010000100.1	26171	27118	26170	27115	+	1.2e-165	922	945
18	JAAOOA010000100.1	26171	27118	26206	27115	+	1.2e-165	922	909
19	JAAOOA010000100.1	168929	167979	168929	167978	-	2.4e-149	934	951
20	JAAOOA010000100.1	93585	92644	93585	92616	-	3.1e-149	916	969
21	JAAOOA010000100.1	173273	172323	173291	172328	-	4.2e-149	940	963
22	JAAOOA010000100.1	173273	172323	173273	172328	-	4.2e-149	940	945
23	JAAOOA010000100.1	90160	89232	90160	89215	-	3.1e-147	910	945
24	JAAOOA010000116.1	26283378	26282435	26283381	26282436	-	4.2e-203	943	945
25	JAAOOA010000116.1	23035602	23036545	23035598	23036543	+	5.2e-202	943	945
26	JAAOOA010000116.1	18998965	18999912	18998964	18999927	+	1.7e-164	942	963
27	JAAOOA010000116.1	18998965	18999912	18999003	18999927	+	1.7e-164	942	924
28	JAAOOA010000116.1	15094559	15095505	15094555	15095488	+	3.6e-162	939	933
29	JAAOOA010000116.1	15094559	15095505	15094558	15095488	+	3.6e-162	939	930
30	JAAOOA010000116.1	15094559	15095505	15094582	15095488	+	3.6e-162	939	906
31	JAAOOA010000116.1	15112380	15113324	15112402	15113308	+	1.3e-160	918	906
32	JAAOOA010000116.1	19012525	19013461	19012562	19013456	+	7.7e-155	915	894
33	JAAOOA010000116.1	15125279	15126228	15125278	15126208	+	4.4e-152	936	930
34	JAAOOA010000116.1	15125279	15126228	15125332	15126208	+	4.4e-152	936	876
35	JAAOOA010000116.1	15051730	15052654	15051714	15052677	+	9.3e-133	904	963
36	JAAOOA010000116.1	15092392	15093308	15092391	15093300	+	2.3e-107	901	909
37	JAAOOA010000116.1	19031353	19032225	19031266	19032235	+	4.5e-86	841	969
38	JAAOOA010000116.1	19031353	19032225	19031296	19032235	+	4.5e-86	841	939
39	JAAOOA010000170.1	482423	483344	482422	483355	+	1.5e-220	932	933
40	JAAOOA010000170.1	482423	483344	482455	483355	+	1.5e-220	932	900
41	JAAOOA010000170.1	367740	368667	367739	368696	+	4.2e-218	943	957
42	JAAOOA010000189.1	491070	490127	491073	490128	-	1e-199	942	945
43	JAAOOA010000220.1	401470	402398	401430	402417	+	1.5e-244	935	987
44	JAAOOA010000220.1	367960	367026	367963	367006	-	3.9e-244	943	957
45	JAAOOA010000220.1	367960	367026	367960	367006	-	3.9e-244	943	954
46	JAAOOA010000220.1	326736	325809	326748	325809	-	1e-226	943	939
47	JAAOOA010000220.1	326736	325809	326736	325809	-	1e-226	943	927
48	JAAOOA010000268.1	92499	91556	92502	91557	-	7.4e-204	942	945
49	JAAOOA010000268.1	134681	135558	134675	135611	+	2.9e-64	872	936
50	JAAOOA010000547.1	219999	220942	219995	220940	+	2.2e-200	942	945
51	JAAOOA010000639.1	24709	23763	24712	23767	-	4.1e-176	936	945
52	JAAOOA010000639.1	24709	23763	24709	23767	-	4.1e-176	936	942
53	JAAOOA010000639.1	24709	23763	24682	23767	-	4.1e-176	936	915
54	JAAOOA010000639.1	24709	23763	24643	23767	-	4.1e-176	936	876
55	JAAOOA010000700.1	211579	212513	211575	212532	+	1.3e-243	942	957
56	JAAOOA010000700.1	211579	212513	211578	212532	+	1.3e-243	942	954
57	JAAOOA010000711.1	198759	199702	198755	199700	+	1.1e-204	943	945
58	JAAOOA010000711.1	120272	121196	120272	121193	+	2.1e-73	906	921
59	JAAOOA010000738.1	126448	125505	126451	125506	-	6.3e-201	943	945
60	JAAOOA010000738.1	144428	145316	144428	145364	+	1.1e-64	872	936
61	JAAOOA010000738.1	231068	230180	231067	230131	-	1.1e-64	872	936
62	JAAOOA010000768.1	70154	71088	70150	71107	+	3.1e-242	943	957
63	JAAOOA010000768.1	70154	71088	70153	71107	+	3.1e-242	943	954
64	JAAOOA010000768.1	17217	16283	17220	16263	-	4.9e-242	940	957
65	JAAOOA010000768.1	17217	16283	17217	16263	-	4.9e-242	940	954
66	JAAOOA010000768.1	13203	12271	13206	12264	-	6.1e-242	939	942
67	JAAOOA010000768.1	13203	12271	13203	12264	-	6.1e-242	939	939
68	JAAOOA010000768.1	171241	172169	171228	172167	+	2.8e-232	943	939
69	JAAOOA010000768.1	171241	172169	171240	172167	+	2.8e-232	943	927
70	JAAOOA010000768.1	178734	179660	178721	179594	+	9.2e-222	943	873
71	JAAOOA010000768.1	96672	97600	96669	97617	+	3.7e-215	923	948
72	JAAOOA010000887.1	149866	150809	149862	150807	+	2.4e-199	942	945
73	JAAOOA010000893.1	124631	123697	124634	123677	-	4e-242	940	957
74	JAAOOA010000893.1	124631	123697	124631	123677	-	4e-242	940	954
75	JAAOOA010000893.1	177186	176252	177189	176232	-	4.9e-242	940	957
76	JAAOOA010000893.1	177186	176252	177186	176232	-	4.9e-242	940	954
77	JAAOOA010000949.1	117255	118198	117251	118196	+	1.1e-204	943	945
78	JAAOOA010000949.1	101054	101972	101091	101970	+	8.7e-71	906	879
79	JAAOOA010000949.1	101054	101972	101097	101970	+	8.7e-71	906	873
80	JAAOOA010000967.1	59531	58603	59561	58604	-	2.6e-230	943	957
81	JAAOOA010000967.1	59531	58603	59531	58604	-	2.6e-230	943	927
82	JAAOOA010000967.1	59531	58603	59528	58604	-	2.6e-230	943	924
83	JAAOOA010000967.1	22103	21174	22103	21182	-	5.9e-222	941	921
84	JAAOOA010001020.1	91576	92519	91572	92517	+	5.2e-202	943	945
85	JAAOOA010001102.1	31445	30526	31448	30491	-	1.1e-224	943	957
86	JAAOOA010001102.1	31445	30526	31445	30491	-	1.1e-224	943	954
87	JAAOOA010001212.1	75679	76611	75675	76638	+	1e-246	936	963
88	JAAOOA010001212.1	75679	76611	75678	76638	+	1e-246	936	960
89	JAAOOA010001212.1	75679	76611	75762	76638	+	1e-246	936	876
90	JAAOOA010001212.1	61111	62045	61107	62064	+	1.3e-246	942	957
91	JAAOOA010001212.1	61111	62045	61110	62064	+	1.3e-246	942	954
92	JAAOOA010001367.1	45662	44719	45665	44720	-	4.3e-203	942	945
93	JAAOOA010001427.1	113769	112881	113768	112832	-	1.1e-64	872	936
94	JAAOOA010001484.1	16484	15542	16487	15578	-	6e-201	943	909
95	JAAOOA010002688.1	22947	23835	22947	23883	+	1.1e-64	872	936
