count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	FYBX02009567.1	254214	253239	254282	253238	-	8e-290	971	1044
2	FYBX02009567.1	254214	253239	254222	253238	-	8e-290	971	984
3	FYBX02009567.1	254214	253239	254147	253238	-	8e-290	971	909
4	FYBX02009567.1	351190	352154	351167	352154	+	1.5e-210	953	987
5	FYBX02009567.1	351190	352154	351179	352154	+	1.5e-210	953	975
6	FYBX02009567.1	351190	352154	351242	352154	+	1.5e-210	953	912
7	FYBX02009973.1	576740	577696	576717	577737	+	8.9e-217	945	1020
8	FYBX02009973.1	576740	577696	576729	577737	+	8.9e-217	945	1008
9	FYBX02009973.1	609080	610036	609057	610077	+	2.3e-216	945	1020
10	FYBX02009973.1	609080	610036	609069	610077	+	2.3e-216	945	1008
11	FYBX02009973.1	553517	554481	553447	554551	+	3.9e-205	953	1104
12	FYBX02009973.1	553517	554481	553492	554551	+	3.9e-205	953	1059
13	FYBX02009973.1	553517	554481	553501	554551	+	3.9e-205	953	1050
14	FYBX02009973.1	553517	554481	553504	554551	+	3.9e-205	953	1047
15	FYBX02009973.1	553517	554481	553537	554551	+	3.9e-205	953	1014
16	FYBX02009973.1	553517	554481	553621	554551	+	3.9e-205	953	930
17	FYBX02010328.1	354690	355649	354689	355646	+	1e-294	972	957
18	FYBX02010490.1	282201	281272	282222	281214	-	1.2e-79	904	1008
19	FYBX02010490.1	282201	281272	282159	281214	-	1.2e-79	904	945
