count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	CM000462.1	219003393	219004335	219003384	219004359	+	4.1e-202	912	975
2	CM000462.1	219003393	219004335	219003390	219004359	+	4.1e-202	912	969
3	CM000462.1	218163018	218164001	218162927	218163980	+	3.7e-201	953	1053
4	CM000462.1	218163018	218164001	218162954	218163980	+	3.7e-201	953	1026
5	CM000462.1	218163018	218164001	218163050	218163980	+	3.7e-201	953	930
6	CM000462.1	218163018	218164001	218163077	218163980	+	3.7e-201	953	903
7	CM000462.1	218956411	218957399	218956452	218957409	+	1.4e-200	957	957
8	CM000462.1	218956411	218957399	218956491	218957409	+	1.4e-200	957	918
9	CM000462.1	130093790	130092813	130093759	130092820	-	3.4e-200	939	939
10	CM000462.1	218310238	218309240	218310327	218309244	-	7.9e-200	974	1083
11	CM000462.1	218310238	218309240	218310306	218309244	-	7.9e-200	974	1062
12	CM000462.1	218310238	218309240	218310258	218309244	-	7.9e-200	974	1014
13	CM000462.1	218310238	218309240	218310189	218309244	-	7.9e-200	974	945
14	CM000462.1	219106676	219105694	219106661	219105713	-	3.2e-195	954	948
15	CM000462.1	219106676	219105694	219106643	219105713	-	3.2e-195	954	930
16	CM000462.1	219106676	219105694	219106607	219105713	-	3.2e-195	954	894
17	CM000462.1	219040704	219041686	219040718	219041666	+	3.3e-195	954	948
18	CM000462.1	219040704	219041686	219040736	219041666	+	3.3e-195	954	930
19	CM000462.1	219040704	219041686	219040772	219041666	+	3.3e-195	954	894
20	CM000462.1	218326677	218327643	218326713	218327640	+	2.4e-193	935	927
21	CM000462.1	219189015	219188012	219188968	219188014	-	1.2e-192	965	954
22	CM000462.1	218820263	218819268	218820212	218819249	-	1.2e-192	961	963
23	CM000462.1	218820263	218819268	218820206	218819249	-	1.2e-192	961	957
24	CM000462.1	218820263	218819268	218820134	218819249	-	1.2e-192	961	885
25	CM000462.1	218820263	218819268	218820131	218819249	-	1.2e-192	961	882
26	CM000462.1	219132374	219131393	219132346	219131407	-	4.9e-192	945	939
27	CM000462.1	218442318	218443310	218442360	218443305	+	6.4e-192	968	945
28	CM000462.1	218726885	218727874	218726915	218727959	+	5.9e-191	946	1044
29	CM000462.1	218726885	218727874	218727032	218727959	+	5.9e-191	946	927
30	CM000462.1	218726885	218727874	218727047	218727959	+	5.9e-191	946	912
31	CM000462.1	218842000	218841004	218841947	218840984	-	1.1e-190	965	963
32	CM000462.1	218842000	218841004	218841941	218840984	-	1.1e-190	965	957
33	CM000462.1	218842000	218841004	218841869	218840984	-	1.1e-190	965	885
34	CM000462.1	218842000	218841004	218841866	218840984	-	1.1e-190	965	882
35	CM000462.1	218934618	218935615	218934667	218935594	+	1.1e-190	947	927
36	CM000462.1	218934618	218935615	218934709	218935594	+	1.1e-190	947	885
37	CM000462.1	219165726	219164777	219165703	219164752	-	2.4e-190	904	951
38	CM000462.1	218467745	218468738	218467793	218468732	+	7.7e-190	961	939
39	CM000462.1	130766555	130767545	130766565	130767528	+	1.4e-189	951	963
40	CM000462.1	130766555	130767545	130766598	130767528	+	1.4e-189	951	930
41	CM000462.1	218692155	218693143	218692193	218693132	+	1.1e-188	952	939
42	CM000462.1	218009726	218008710	218009672	218008718	-	2.4e-188	959	954
43	CM000462.1	130862890	130861911	130862857	130861927	-	7.3e-187	943	930
44	CM000462.1	130641507	130640506	130641457	130640467	-	7.4e-187	958	990
45	CM000462.1	218090005	218089031	218090027	218089004	-	3.8e-186	935	1023
46	CM000462.1	218090005	218089031	218090018	218089004	-	3.8e-186	935	1014
47	CM000462.1	218090005	218089031	218089967	218089004	-	3.8e-186	935	963
48	CM000462.1	218090005	218089031	218089964	218089004	-	3.8e-186	935	960
49	CM000462.1	129807837	129808803	129807790	129808798	+	4.1e-186	929	1008
50	CM000462.1	129807837	129808803	129807823	129808798	+	4.1e-186	929	975
51	CM000462.1	129807837	129808803	129807871	129808798	+	4.1e-186	929	927
52	CM000462.1	218749497	218750480	218749529	218750468	+	1.2e-185	950	939
53	CM000462.1	129933971	129934942	129933994	129934936	+	1.5e-185	945	942
54	CM000462.1	129727266	129726284	129727244	129726299	-	2.5e-184	942	945
55	CM000462.1	218393998	218393012	218393965	218392996	-	5.6e-184	952	969
56	CM000462.1	219078306	219077345	219078278	219077327	-	2.5e-183	921	951
57	CM000462.1	218871374	218870392	218871343	218870404	-	1.1e-182	943	939
58	CM000462.1	129875687	129874711	129875669	129874691	-	1.2e-182	934	978
59	CM000462.1	130758984	130759957	130758921	130759941	+	1.3e-182	933	1020
60	CM000462.1	130758984	130759957	130759005	130759941	+	1.3e-182	933	936
61	CM000462.1	130758984	130759957	130759023	130759941	+	1.3e-182	933	918
62	CM000462.1	129793325	129794301	129793350	129794292	+	2.5e-182	948	942
63	CM000462.1	218568941	218569911	218568967	218569906	+	6.8e-182	931	939
64	CM000462.1	129748669	129747694	129748644	129747705	-	7.8e-181	947	939
65	CM000462.1	218480527	218481523	218480568	218481558	+	8.9e-181	954	990
66	CM000462.1	218480527	218481523	218480571	218481558	+	8.9e-181	954	987
67	CM000462.1	218480527	218481523	218480679	218481558	+	8.9e-181	954	879
68	CM000462.1	218785312	218786288	218785339	218786275	+	3.2e-179	935	936
69	CM000462.1	218585245	218586230	218585286	218586225	+	8.2e-178	940	939
70	CM000462.1	130104749	130103768	130104710	130103756	-	1.2e-177	945	954
71	CM000462.1	218048474	218049465	218048519	218049482	+	4.3e-177	951	963
72	CM000462.1	218145775	218146791	218145771	218146776	+	6.8e-177	942	1005
73	CM000462.1	218145775	218146791	218145822	218146776	+	6.8e-177	942	954
74	CM000462.1	218145775	218146791	218145828	218146776	+	6.8e-177	942	948
75	CM000462.1	218607672	218608649	218607701	218608640	+	1.6e-175	947	939
76	CM000462.1	218264435	218263452	218264400	218263473	-	9.7e-175	946	927
77	CM000462.1	130045342	130044355	130045350	130044354	-	3.1e-173	951	996
78	CM000462.1	130045342	130044355	130045338	130044354	-	3.1e-173	951	984
79	CM000462.1	130045342	130044355	130045302	130044354	-	3.1e-173	951	948
80	CM000462.1	218646417	218647414	218646409	218647408	+	4.2e-173	955	999
