count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	CM000462.1	218310183	218309257	218309244	218310306	-	6.6e-196	915	1062
2	CM000462.1	218310183	218309257	218309244	218310258	-	6.6e-196	915	1014
3	CM000462.1	218310183	218309257	218309244	218310189	-	6.6e-196	915	945
4	CM000462.1	219003409	219004319	219003384	219004359	+	7.4e-195	897	975
5	CM000462.1	219003409	219004319	219003390	219004359	+	7.4e-195	897	969
6	CM000462.1	218163057	218163983	218162927	218163980	+	3.5e-193	918	1053
7	CM000462.1	218163057	218163983	218162954	218163980	+	3.5e-193	918	1026
8	CM000462.1	218163057	218163983	218163050	218163980	+	3.5e-193	918	930
9	CM000462.1	218163057	218163983	218163077	218163980	+	3.5e-193	918	903
10	CM000462.1	130093753	130092828	130092820	130093759	-	5.5e-192	919	939
11	CM000462.1	218956453	218957381	218956452	218957409	+	7e-192	922	957
12	CM000462.1	218956453	218957381	218956491	218957409	+	7e-192	922	918
13	CM000462.1	218326714	218327638	218326713	218327640	+	2.7e-191	917	927
14	CM000462.1	218442367	218443291	218442360	218443305	+	8.6e-188	916	945
15	CM000462.1	219106645	219105719	219105713	219106661	-	5.3e-187	914	948
16	CM000462.1	219106645	219105719	219105713	219106643	-	5.3e-187	914	930
17	CM000462.1	219106645	219105719	219105713	219106607	-	5.3e-187	914	894
18	CM000462.1	219040735	219041661	219040718	219041666	+	5.7e-187	914	948
19	CM000462.1	219040735	219041661	219040736	219041666	+	5.7e-187	914	930
20	CM000462.1	219040735	219041661	219040772	219041666	+	5.7e-187	914	894
21	CM000462.1	219165703	219164790	219164752	219165703	-	1.2e-183	900	951
22	CM000462.1	219132341	219131416	219131407	219132346	-	2.7e-183	915	939
23	CM000462.1	219188963	219188036	219188014	219188968	-	1.1e-182	917	954
24	CM000462.1	130862854	130861928	130861927	130862857	-	2.1e-182	922	930
25	CM000462.1	130766605	130767527	130766565	130767528	+	2.6e-182	916	963
26	CM000462.1	130766605	130767527	130766598	130767528	+	2.6e-182	916	930
27	CM000462.1	218726922	218727846	218726915	218727959	+	3.6e-182	918	1044
28	CM000462.1	218726922	218727846	218727032	218727959	+	3.6e-182	918	927
29	CM000462.1	218726922	218727846	218727047	218727959	+	3.6e-182	918	912
30	CM000462.1	219078273	219077354	219077327	219078278	-	5e-182	906	951
31	CM000462.1	218934673	218935597	218934667	218935594	+	2.6e-181	913	927
32	CM000462.1	218934673	218935597	218934709	218935594	+	2.6e-181	913	885
33	CM000462.1	218393960	218393033	218392996	218393965	-	2.9e-181	916	969
34	CM000462.1	218009640	218008731	218008718	218009672	-	3.9e-181	895	954
35	CM000462.1	129875648	129874726	129874691	129875669	-	4.8e-181	908	978
36	CM000462.1	218692200	218693124	218692193	218693132	+	7.8e-180	918	939
37	CM000462.1	129934000	129934924	129933994	129934936	+	9.5e-180	917	942
38	CM000462.1	129807855	129808782	129807790	129808798	+	1.8e-179	922	1008
39	CM000462.1	129807855	129808782	129807823	129808798	+	1.8e-179	922	975
40	CM000462.1	129807855	129808782	129807871	129808798	+	1.8e-179	922	927
41	CM000462.1	129727234	129726316	129726299	129727244	-	2.3e-179	909	945
42	CM000462.1	218089958	218089037	218089004	218090027	-	5.5e-179	912	1023
43	CM000462.1	218089958	218089037	218089004	218090018	-	5.5e-179	912	1014
44	CM000462.1	218089958	218089037	218089004	218089967	-	5.5e-179	912	963
45	CM000462.1	218089958	218089037	218089004	218089964	-	5.5e-179	912	960
46	CM000462.1	130641451	130640524	130640467	130641457	-	2.2e-178	915	990
47	CM000462.1	218820208	218819288	218819249	218820212	-	3.2e-177	911	963
48	CM000462.1	218820208	218819288	218819249	218820206	-	3.2e-177	911	957
49	CM000462.1	218820208	218819288	218819249	218820134	-	3.2e-177	911	885
50	CM000462.1	218820208	218819288	218819249	218820131	-	3.2e-177	911	882
51	CM000462.1	129793356	129794282	129793350	129794292	+	3e-176	913	942
52	CM000462.1	218749536	218750460	218749529	218750468	+	3.5e-176	919	939
53	CM000462.1	218467791	218468718	218467793	218468732	+	4.6e-176	911	939
54	CM000462.1	129748639	129747713	129747705	129748644	-	7.6e-175	918	939
55	CM000462.1	218871337	218870413	218870404	218871343	-	1.9e-174	918	939
56	CM000462.1	218841943	218841027	218840984	218841947	-	2.5e-174	899	963
57	CM000462.1	218841943	218841027	218840984	218841941	-	2.5e-174	899	957
58	CM000462.1	218841943	218841027	218840984	218841869	-	2.5e-174	899	885
59	CM000462.1	218841943	218841027	218840984	218841866	-	2.5e-174	899	882
60	CM000462.1	218785344	218786272	218785339	218786275	+	2.7e-173	923	936
61	CM000462.1	218480579	218481501	218480568	218481558	+	3.9e-173	912	990
62	CM000462.1	218480579	218481501	218480571	218481558	+	3.9e-173	912	987
63	CM000462.1	218480579	218481501	218480679	218481558	+	3.9e-173	912	879
64	CM000462.1	218568969	218569894	218568967	218569906	+	9.4e-173	904	939
65	CM000462.1	218048526	218049450	218048519	218049482	+	9.7e-173	918	963
66	CM000462.1	130759012	130759938	130758921	130759941	+	1.4e-172	913	1020
67	CM000462.1	130759012	130759938	130759005	130759941	+	1.4e-172	913	936
68	CM000462.1	130759012	130759938	130759023	130759941	+	1.4e-172	913	918
69	CM000462.1	130104703	130103780	130103756	130104710	-	5.1e-172	914	954
70	CM000462.1	218895543	218896470	218895543	218896482	+	4.6e-170	917	939
71	CM000462.1	218895543	218896470	218895564	218896482	+	4.6e-170	917	918
72	CM000462.1	218895543	218896470	218895579	218896482	+	4.6e-170	917	903
73	CM000462.1	218585292	218586214	218585286	218586225	+	1e-169	910	939
74	CM000462.1	219220385	219219460	219219449	219220385	-	2.3e-169	919	936
75	CM000462.1	219220385	219219460	219219449	219220349	-	2.3e-169	919	900
76	CM000462.1	218264394	218263468	218263473	218264400	-	5.5e-169	920	927
77	CM000462.1	218145839	218146760	218145771	218146776	+	3.7e-167	910	1005
78	CM000462.1	218145839	218146760	218145822	218146776	+	3.7e-167	910	954
79	CM000462.1	218145839	218146760	218145828	218146776	+	3.7e-167	910	948
80	CM000462.1	218607707	218608628	218607701	218608640	+	4.6e-166	910	939
81	CM000462.1	218230466	218229551	218229539	218230463	-	7.3e-166	905	924
82	CM000462.1	218275688	218274764	218274743	218275688	-	2.9e-165	916	945
83	CM000462.1	218275688	218274764	218274743	218275652	-	2.9e-165	916	909
84	CM000462.1	130045297	130044375	130044354	130045350	-	1.2e-164	910	996
85	CM000462.1	130045297	130044375	130044354	130045338	-	1.2e-164	910	984
86	CM000462.1	130045297	130044375	130044354	130045302	-	1.2e-164	910	948
87	CM000462.1	218646475	218647397	218646409	218647408	+	3.9e-162	910	999
88	CM000462.1	218646475	218647397	218646469	218647408	+	3.9e-162	910	939
89	CM000462.1	219023965	219024887	219023902	219024898	+	3.2e-161	916	996
90	CM000462.1	219023965	219024887	219023941	219024898	+	3.2e-161	916	957
91	CM000462.1	219113313	219112391	219112379	219113375	-	3.5e-161	916	996
92	CM000462.1	219113313	219112391	219112379	219113336	-	3.5e-161	916	957
93	CM000462.1	129891145	129890235	129890210	129891164	-	8.9e-161	897	954
94	CM000462.1	218512386	218513311	218512335	218513343	+	1.8e-160	910	1008
95	CM000462.1	218512386	218513311	218512380	218513343	+	1.8e-160	910	963
96	CM000462.1	130081986	130082904	130081895	130082927	+	1.6e-159	907	1032
97	CM000462.1	130081986	130082904	130081967	130082927	+	1.6e-159	907	960
98	CM000462.1	130081986	130082904	130082000	130082927	+	1.6e-159	907	927
99	CM000462.1	130081986	130082904	130082024	130082927	+	1.6e-159	907	903
100	CM000462.1	218367549	218366628	218366619	218367633	-	7e-156	919	1014
101	CM000462.1	218367549	218366628	218366619	218367546	-	7e-156	919	927
102	CM000462.1	218367549	218366628	218366619	218367510	-	7e-156	919	891
103	CM000462.1	218177133	218178041	218177164	218178046	+	8.4e-156	897	882
104	CM000462.1	218290400	218291323	218290399	218291344	+	1.2e-148	915	945
105	CM000462.1	218290400	218291323	218290417	218291344	+	1.2e-148	915	927
106	CM000462.1	218290400	218291323	218290420	218291344	+	1.2e-148	915	924
107	CM000462.1	130027850	130026920	130026880	130027855	-	4.7e-144	915	975
108	CM000463.1	90207447	90208373	90207540	90208443	+	9.6e-199	915	903
109	CM000463.1	232743356	232742435	232742366	232743398	-	1.5e-179	908	1032
110	CM000463.1	232743356	232742435	232742366	232743362	-	1.5e-179	908	996
111	CM000463.1	232727790	232726866	232726857	232727832	-	8.5e-174	908	975
112	CM000463.1	232727790	232726866	232726857	232727796	-	8.5e-174	908	939
113	CM000464.1	122797178	122798104	122797271	122798189	+	1.4e-186	915	918
114	CM000464.1	75411131	75410204	75410149	75411037	-	2e-186	915	888
115	CM000464.1	95560564	95561489	95560557	95561484	+	4.2e-169	917	927
116	CM000464.1	95560564	95561489	95560578	95561484	+	4.2e-169	917	906
117	CM000464.1	95588665	95589591	95588659	95589610	+	1.8e-165	918	951
118	CM000464.1	95588665	95589591	95588680	95589610	+	1.8e-165	918	930
119	CM000464.1	95175924	95176849	95175911	95176841	+	2.6e-165	918	930
120	CM000464.1	95444768	95445685	95444761	95445727	+	7.6e-162	913	966
121	CM000464.1	95373927	95374852	95373905	95374850	+	1.6e-157	916	945
122	CM000464.1	95373927	95374852	95373920	95374850	+	1.6e-157	916	930
123	CM000464.1	95221451	95222375	95221444	95222386	+	1.5e-154	914	942
124	CM000464.1	95481599	95482519	95481592	95482558	+	7.8e-153	920	966
125	CM000464.1	95238147	95239072	95238140	95239073	+	1.2e-152	917	933
126	CM000464.1	95355361	95356286	95355306	95356284	+	1.1e-150	917	978
127	CM000464.1	95355361	95356286	95355354	95356284	+	1.1e-150	917	930
128	CM000464.1	95257470	95258395	95257463	95258405	+	1.8e-149	916	942
129	CM000464.1	95297160	95298086	95297153	95298086	+	1.7e-143	918	933
130	CM000466.1	175309404	175310326	175309395	175310343	+	7.7e-186	907	948
131	CM000466.1	175280101	175279179	175279162	175280110	-	1.5e-179	906	948
132	CM000466.1	174892230	174891312	174891304	174892240	-	2.4e-174	912	936
133	CM000467.1	27849090	27850009	27849083	27850097	+	5.7e-190	911	1014
134	CM000467.1	29131578	29130657	29130618	29131584	-	1.5e-189	912	966
135	CM000467.1	29362808	29363732	29362807	29363746	+	6.4e-187	922	939
136	CM000467.1	29214947	29215875	29214946	29215885	+	8.4e-183	922	939
137	CM000467.1	29214947	29215875	29214964	29215885	+	8.4e-183	922	921
138	CM000467.1	29171625	29172554	29171626	29172550	+	4.3e-182	916	924
139	CM000467.1	28862367	28861441	28861431	28862373	-	1.8e-181	916	942
140	CM000467.1	29236705	29237630	29236704	29237655	+	2.5e-179	923	951
141	CM000467.1	29236705	29237630	29236725	29237655	+	2.5e-179	923	930
142	CM000467.1	129604278	129603349	129603345	129604278	-	9.2e-179	923	933
143	CM000467.1	27732859	27733783	27732851	27733793	+	1.5e-176	913	942
144	CM000467.1	28887032	28887956	28887016	28887952	+	2.5e-175	913	936
145	CM000467.1	28948770	28949696	28948764	28949703	+	5.3e-173	915	939
146	CM000467.1	28948770	28949696	28948767	28949703	+	5.3e-173	915	936
147	CM000467.1	29150359	29149430	29149408	29150359	-	1.6e-166	920	951
148	CM000467.1	29150359	29149430	29149408	29150341	-	1.6e-166	920	933
149	CM000467.1	28820349	28819433	28819392	28820355	-	4.1e-166	906	963
150	CM000467.1	28820349	28819433	28819392	28820289	-	4.1e-166	906	897
151	CM000467.1	28820349	28819433	28819392	28820283	-	4.1e-166	906	891
152	CM000467.1	29202557	29201639	29201624	29202572	-	1.4e-155	917	948
153	CM000467.1	29082076	29083002	29082009	29083041	+	4.8e-148	918	1032
154	CM000467.1	29082076	29083002	29082075	29083041	+	4.8e-148	918	966
155	CM000467.1	29082076	29083002	29082111	29083041	+	4.8e-148	918	930
156	CM000468.1	138116573	138117502	138116572	138117505	+	4.9e-199	924	933
157	CM000468.1	138116573	138117502	138116590	138117505	+	4.9e-199	924	915
158	CM000468.1	137947020	137947950	137947019	137947955	+	9.3e-199	923	936
159	CM000468.1	137970845	137971774	137970844	137971777	+	8.6e-195	926	933
160	CM000468.1	137856584	137857507	137856577	137857531	+	1.3e-190	912	954
161	CM000468.1	138006220	138007148	138006219	138007176	+	1.8e-190	923	957
162	CM000468.1	137991741	137992669	137991740	137992673	+	5.9e-190	923	933
163	CM000468.1	138025750	138026675	138025749	138026679	+	8.6e-185	923	930
164	CM000468.1	137831838	137832761	137831831	137832785	+	4.4e-184	913	954
165	CM000468.1	137900563	137901469	137900557	137901493	+	8.5e-183	904	936
166	CM000468.1	138089781	138090710	138089780	138090713	+	1.4e-182	923	933
167	CM000468.1	138053873	138054801	138053872	138054805	+	3e-179	924	933
168	CM000468.1	94110475	94109552	94109508	94110555	-	5.6e-165	919	1047
169	CM000468.1	94110475	94109552	94109508	94110480	-	5.6e-165	919	972
170	CM000468.1	94110475	94109552	94109508	94110387	-	5.6e-165	919	879
171	CM000468.1	137087695	137088621	137087613	137088639	+	8.7e-145	919	1026
172	CM000468.1	137087695	137088621	137087673	137088639	+	8.7e-145	919	966
173	CM000468.1	137087695	137088621	137087697	137088639	+	8.7e-145	919	942
174	CM000468.1	137062477	137061569	137061544	137062477	-	1.4e-140	912	933
175	CM000468.1	137062477	137061569	137061544	137062474	-	1.4e-140	912	930
176	CM000468.1	135915075	135915994	135915074	135916019	+	2.3e-139	904	945
177	CM000468.1	135915075	135915994	135915080	135916019	+	2.3e-139	904	939
178	CM000470.1	94854895	94853973	94853932	94854901	-	2e-206	912	969
179	CM000470.1	94904295	94903367	94903357	94904293	-	1e-204	919	936
180	CM000470.1	94887782	94888708	94887775	94888717	+	2.2e-204	919	942
181	CM000470.1	94896126	94897055	94896122	94897064	+	8.7e-201	922	942
182	CM000470.1	94930132	94931058	94930074	94931067	+	1.3e-199	918	993
183	CM000470.1	94930132	94931058	94930116	94931067	+	1.3e-199	918	951
184	CM000470.1	95100838	95101762	95100828	95101764	+	2.1e-199	910	936
185	CM000470.1	35911863	35910919	35910912	35911872	-	2.3e-198	906	960
186	CM000470.1	35911863	35910919	35910912	35911842	-	2.3e-198	906	930
187	CM000470.1	95126694	95127620	95126579	95127623	+	2.4e-198	915	1044
188	CM000470.1	95126694	95127620	95126606	95127623	+	2.4e-198	915	1017
189	CM000470.1	95126694	95127620	95126687	95127623	+	2.4e-198	915	936
190	CM000470.1	76970704	76969761	76969753	76970710	-	6.4e-195	917	957
191	CM000470.1	77058850	77059777	77058748	77059789	+	1.8e-193	918	1041
192	CM000470.1	77058850	77059777	77058844	77059789	+	1.8e-193	918	945
193	CM000470.1	77058850	77059777	77058868	77059789	+	1.8e-193	918	921
194	CM000470.1	76983280	76982337	76982329	76983286	-	3.5e-192	916	957
195	CM000470.1	94945373	94944453	94944452	94945382	-	4e-192	910	930
196	CM000470.1	95038567	95039489	95038560	95039493	+	4.5e-192	917	933
