count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	CM002894.2	36214518	36213537	36214600	36213526	-	5.6e-195	938	1074
2	CM002894.2	36214518	36213537	36214525	36213526	-	5.6e-195	938	999
3	CM002894.2	36214518	36213537	36214516	36213526	-	5.6e-195	938	990
4	CM002894.2	36244736	36243755	36244731	36243741	-	3.7e-193	938	990
5	CM002894.2	36244736	36243755	36244662	36243741	-	3.7e-193	938	921
6	CM002894.2	36244736	36243755	36244638	36243741	-	3.7e-193	938	897
7	CM002894.2	36219792	36218807	36219793	36218806	-	3.3e-188	938	987
8	CM002894.2	36219792	36218807	36219784	36218806	-	3.3e-188	938	978
9	CM002894.2	36222804	36221825	36222813	36221835	-	1.3e-187	938	978
10	CM002894.2	36225697	36224712	36225700	36224701	-	5.5e-185	938	999
11	CM002894.2	36225697	36224712	36225691	36224701	-	5.5e-185	938	990
12	CM002894.2	36225697	36224712	36225595	36224701	-	5.5e-185	938	894
13	CM002894.2	36231706	36230733	36231715	36230698	-	2.2e-182	935	1017
14	CM002894.2	36236200	36235241	36236209	36235204	-	5.9e-180	930	1005
15	CM002894.2	36240749	36239773	36240758	36239747	-	6e-177	935	1011
16	CM002894.2	36303303	36304259	36303278	36304283	+	8e-171	937	1005
17	CM002894.2	36303303	36304259	36303302	36304283	+	8e-171	937	981
18	CM002894.2	36272500	36273463	36272503	36273451	+	2e-170	937	948
19	CM002894.2	36285875	36286844	36285892	36286834	+	2.6e-170	936	942
20	CM002894.2	36299872	36300840	36299876	36300854	+	1.2e-169	938	978
21	CM002894.2	36299872	36300840	36299918	36300854	+	1.2e-169	938	936
22	CM002894.2	36277842	36278795	36277841	36278783	+	6.2e-169	936	942
23	CM002894.2	36294977	36295937	36294976	36295921	+	5.4e-166	936	945
24	CM002894.2	36309365	36310321	36309364	36310315	+	3.5e-164	939	951
25	CM002894.2	36309365	36310321	36309382	36310315	+	3.5e-164	939	933
26	CM002894.2	36265506	36266462	36265513	36266494	+	5.3e-164	936	981
27	CM002894.2	36265506	36266462	36265621	36266494	+	5.3e-164	936	873
28	CM002894.2	36314629	36315592	36314628	36315579	+	2.7e-163	939	951
29	CM002894.2	36334861	36335822	36334860	36335820	+	6e-160	940	960
30	CM002894.2	36323264	36324229	36323267	36324230	+	3e-158	932	963
31	CM002894.2	36323264	36324229	36323288	36324230	+	3e-158	932	942
32	CM002894.2	36329043	36330009	36329047	36330010	+	6.2e-156	932	963
33	CM002894.2	36185011	36185994	36184934	36185987	+	1.2e-153	934	1053
34	CM002894.2	36185011	36185994	36185006	36185987	+	1.2e-153	934	981
35	CM002894.2	36185011	36185994	36185108	36185987	+	1.2e-153	934	879
36	CM002894.2	36194763	36195744	36194772	36195738	+	2.2e-149	942	966
37	CM002894.2	36194763	36195744	36194859	36195738	+	2.2e-149	942	879
38	CM002894.2	36179004	36179984	36178999	36179977	+	2.3e-149	936	978
39	CM002894.2	36179004	36179984	36179074	36179977	+	2.3e-149	936	903
40	CM002894.2	36179004	36179984	36179098	36179977	+	2.3e-149	936	879
41	CM002894.2	36355185	36356147	36355184	36356168	+	6.3e-146	929	984
42	CM002894.2	36355185	36356147	36355235	36356168	+	6.3e-146	929	933
43	CM002894.2	36253958	36252995	36253958	36253001	-	1e-145	940	957
44	CM002894.2	36253958	36252995	36253880	36253001	-	1e-145	940	879
45	CM002894.2	36260006	36259048	36260007	36259110	-	3.8e-143	928	897
46	CM002894.2	36349451	36350409	36349450	36350410	+	1.3e-140	928	960
47	CM002894.2	36349451	36350409	36349504	36350410	+	1.3e-140	928	906
48	CM002894.2	36345218	36346149	36345210	36346188	+	9e-103	897	978
49	CM002899.2	31357465	31356512	31357555	31356484	-	1e-166	917	1071
50	CM002899.2	31357465	31356512	31357465	31356484	-	1e-166	917	981
51	CM002899.2	31413770	31412817	31413845	31412789	-	2e-166	917	1056
52	CM002899.2	31413770	31412817	31413770	31412789	-	2e-166	917	981
53	CM002899.2	31366443	31365471	31366443	31365462	-	3.7e-164	922	981
54	CM002899.2	31351878	31350925	31351878	31350897	-	1.9e-162	917	981
55	CM002899.2	31401136	31400187	31401136	31400158	-	3.7e-157	917	978
56	CM002899.2	31372214	31371260	31372214	31371233	-	4.6e-157	920	981
57	CM002899.2	31408793	31407826	31408784	31407839	-	5.4e-156	923	945
58	CM002899.2	31383376	31382414	31383376	31382395	-	1e-154	918	981
59	CM002899.2	31419516	31418548	31419516	31418538	-	5.4e-153	918	978
60	CM002899.2	31406038	31405081	31406093	31405058	-	1.7e-152	916	1035
61	CM002899.2	31406038	31405081	31406033	31405058	-	1.7e-152	916	975
62	CM002899.2	31406038	31405081	31405943	31405058	-	1.7e-152	916	885
63	CM002899.2	31390731	31389766	31390731	31389753	-	6e-152	921	978
64	CM002899.2	5157370	5156443	5157370	5156452	-	1.6e-134	918	918
65	CM002899.2	5157370	5156443	5157343	5156452	-	1.6e-134	918	891
66	CM002899.2	5245426	5244517	5245426	5244508	-	4.5e-134	916	918
67	CM002899.2	5245426	5244517	5245399	5244508	-	4.5e-134	916	891
68	CM002899.2	5230099	5229169	5230099	5229187	-	9.9e-134	919	912
69	CM002899.2	5230099	5229169	5230072	5229187	-	9.9e-134	919	885
70	CM002899.2	5178730	5177776	5178730	5177785	-	2e-133	927	945
71	CM002899.2	5178730	5177776	5178664	5177785	-	2e-133	927	879
72	CM002899.2	5217327	5216390	5217327	5216406	-	6.7e-132	927	921
73	CM002899.2	5217327	5216390	5217300	5216406	-	6.7e-132	927	894
74	CM002899.2	5172110	5171157	5172110	5171162	-	1.3e-131	936	948
75	CM002899.2	5172110	5171157	5172044	5171162	-	1.3e-131	936	882
76	CM002899.2	5239184	5238258	5239184	5238266	-	3.5e-130	916	918
77	CM002899.2	5239184	5238258	5239157	5238266	-	3.5e-130	916	891
78	CM002899.2	31429201	31430158	31429135	31430158	+	3.2e-129	935	1023
79	CM002899.2	31429201	31430158	31429195	31430158	+	3.2e-129	935	963
80	CM002899.2	5222597	5221669	5222597	5221679	-	1.1e-128	918	918
81	CM002899.2	5222597	5221669	5222570	5221679	-	1.1e-128	918	891
82	CM002899.2	31444654	31445601	31444653	31445610	+	2.9e-128	933	957
83	CM002899.2	31435997	31436959	31435996	31436941	+	1.3e-126	932	945
84	CM002899.2	31327700	31328629	31327679	31328624	+	7.4e-126	891	945
85	CM002899.2	5207588	5206676	5207588	5206670	-	5.4e-125	901	918
86	CM002899.2	5207588	5206676	5207561	5206670	-	5.4e-125	901	891
87	CM002899.2	5212702	5211768	5212702	5211784	-	1.2e-124	924	918
88	CM002899.2	5212702	5211768	5212675	5211784	-	1.2e-124	924	891
89	CM002899.2	31332791	31333722	31332772	31333717	+	3.5e-124	893	945
90	CM002899.2	31426776	31427733	31426780	31427767	+	9.5e-124	915	987
91	CM002899.2	31426776	31427733	31426873	31427767	+	9.5e-124	915	894
92	CM002899.2	5191507	5190561	5191507	5190571	-	4.5e-123	926	936
93	CM002899.2	31462952	31463905	31462851	31463898	+	4.5e-122	923	1047
94	CM002899.2	31462952	31463905	31462950	31463898	+	4.5e-122	923	948
95	CM002899.2	5183999	5183059	5184015	5183067	-	5.1e-122	911	948
96	CM002899.2	5183999	5183059	5183949	5183067	-	5.1e-122	911	882
97	CM002899.2	5203167	5202270	5203167	5202234	-	3.7e-121	902	933
98	CM002899.2	5203167	5202270	5203140	5202234	-	3.7e-121	902	906
99	CM002899.2	5252087	5251118	5252082	5251152	-	1.5e-120	935	930
100	CM002899.2	5277988	5278920	5277987	5278926	+	3.2e-118	911	939
101	CM002899.2	5277988	5278920	5278050	5278926	+	3.2e-118	911	876
102	CM002899.2	5262788	5261827	5262788	5261843	-	9.6e-117	943	945
103	CM002899.2	5262788	5261827	5262773	5261843	-	9.6e-117	943	930
104	CM002899.2	31318876	31317980	31318921	31317979	-	3.2e-116	867	942
105	CM002899.2	31318876	31317980	31318858	31317979	-	3.2e-116	867	879
