count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	PIZI01000025.1	2418004	2419007	2418003	2419011	+	9.9e-194	982	1008
2	PIZI01000025.1	2418004	2419007	2418060	2419011	+	9.9e-194	982	951
3	PIZI01000040.1	9865572	9864601	9865572	9864519	-	1e-111	907	1053
4	PIZI01000051.1	437412	438383	437411	438398	+	1.2e-231	970	987
5	PIZI01000051.1	437412	438383	437498	438398	+	1.2e-231	970	900
6	PIZI01000051.1	459544	460508	459543	460542	+	6.2e-229	969	999
7	PIZI01000051.1	459544	460508	459630	460542	+	6.2e-229	969	912
8	PIZI01000051.1	459544	460508	459642	460542	+	6.2e-229	969	900
9	PIZI01000051.1	449990	450950	449989	450976	+	2.8e-224	964	987
10	PIZI01000051.1	449990	450950	450076	450976	+	2.8e-224	964	900
11	PIZI01000051.1	449990	450950	450103	450976	+	2.8e-224	964	873
12	PIZI01000051.1	289421	290425	289411	290410	+	3.2e-209	996	999
13	PIZI01000051.1	289421	290425	289420	290410	+	3.2e-209	996	990
14	PIZI01000051.1	369256	370242	369255	370242	+	1.1e-206	997	987
15	PIZI01000051.1	369256	370242	369330	370242	+	1.1e-206	997	912
16	PIZI01000051.1	270480	271473	270479	271406	+	5.5e-202	991	927
17	PIZI01000051.1	270480	271473	270503	271406	+	5.5e-202	991	903
18	PIZI01000051.1	46478	47454	46487	47459	+	2.3e-199	969	972
19	PIZI01000051.1	46478	47454	46574	47459	+	2.3e-199	969	885
20	PIZI01000051.1	397307	398291	397313	398291	+	4.6e-195	997	978
21	PIZI01000051.1	397307	398291	397397	398291	+	4.6e-195	997	894
22	PIZI01000051.1	332023	333017	331986	333012	+	7.9e-192	997	1026
23	PIZI01000051.1	332023	333017	332025	333012	+	7.9e-192	997	987
24	PIZI01000051.1	315749	316745	315748	316732	+	3.2e-189	986	984
25	PIZI01000051.1	349771	350766	349770	350754	+	4e-185	986	984
26	PIZI01000051.1	299499	300449	299498	300518	+	5.1e-171	954	1020
27	PIZI01000051.1	299499	300449	299522	300518	+	5.1e-171	954	996
28	PIZI01000051.1	299499	300449	299558	300518	+	5.1e-171	954	960
29	PIZI01000051.1	555483	556490	555425	556484	+	1.2e-146	990	1059
30	PIZI01000051.1	555483	556490	555482	556484	+	1.2e-146	990	1002
31	PIZI01000051.1	250937	251891	250936	251920	+	2.4e-138	959	984
32	PIZI01000051.1	250937	251891	250996	251920	+	2.4e-138	959	924
33	PIZI01000051.1	541422	542392	541320	542376	+	1.6e-113	888	1056
34	PIZI01000051.1	541422	542392	541431	542376	+	1.6e-113	888	945
35	PIZI01000051.1	541422	542392	541476	542376	+	1.6e-113	888	900
36	PIZI01000071.1	506449	505464	506449	505465	-	5.9e-187	969	984
37	PIZI01000071.1	506449	505464	506392	505465	-	5.9e-187	969	927
38	PIZI01000071.1	506449	505464	506365	505465	-	5.9e-187	969	900
39	PIZI01000071.1	431153	430177	431153	430184	-	1e-177	957	969
40	PIZI01000071.1	431153	430177	431129	430184	-	1e-177	957	945
41	PIZI01000071.1	431153	430177	431123	430184	-	1e-177	957	939
42	PIZI01000071.1	431153	430177	431108	430184	-	1e-177	957	924
43	PIZI01000071.1	431153	430177	431099	430184	-	1e-177	957	915
44	PIZI01000118.1	347777	348778	347776	348769	+	7.4e-201	988	993
45	PIZI01000118.1	347777	348778	347812	348769	+	7.4e-201	988	957
46	PIZI01000118.1	347777	348778	347830	348769	+	7.4e-201	988	939
47	PIZI01000118.1	347777	348778	347893	348769	+	7.4e-201	988	876
48	PIZI01000118.1	124115	123130	124059	123138	-	1.2e-184	977	921
49	PIZI01000118.1	236450	237467	236493	237402	+	4.2e-171	952	909
50	PIZI01000118.1	186420	187426	186419	187406	+	1.2e-119	969	987
51	PIZI01000118.1	186420	187426	186488	187406	+	1.2e-119	969	918
52	PIZI01000118.1	307561	306632	307507	306628	-	2.1e-109	919	879
53	PIZI01000118.1	102489	103469	102494	103451	+	7.6e-102	951	957
54	PIZI01000118.1	102489	103469	102536	103451	+	7.6e-102	951	915
55	PIZI01000118.1	320000	321022	319999	321070	+	6.3e-97	947	1071
56	PIZI01000118.1	320000	321022	320065	321070	+	6.3e-97	947	1005
57	PIZI01000118.1	254690	253767	254730	253713	-	4.4e-86	884	1017
58	PIZI01000118.1	254690	253767	254661	253713	-	4.4e-86	884	948
59	PIZI01000118.1	254690	253767	254658	253713	-	4.4e-86	884	945
60	PIZI01000118.1	379586	380526	379498	380470	+	4.4e-71	873	972
61	PIZI01000216.1	97706	96724	97760	96737	-	3.5e-180	962	1023
62	PIZI01000216.1	97706	96724	97706	96737	-	3.5e-180	962	969
63	PIZI01000216.1	97706	96724	97682	96737	-	3.5e-180	962	945
64	PIZI01000216.1	97706	96724	97676	96737	-	3.5e-180	962	939
65	PIZI01000216.1	97706	96724	97661	96737	-	3.5e-180	962	924
66	PIZI01000216.1	97706	96724	97652	96737	-	3.5e-180	962	915
67	PIZI01000813.1	19703	20475	19702	20590	+	1.3e-143	777	888
68	PIZI01001644.1	10699	11635	10786	11671	+	3.5e-134	950	885
69	PIZI01002284.1	15389	16406	15388	16354	+	2.5e-154	967	966
70	PIZI01002284.1	15389	16406	15454	16354	+	2.5e-154	967	900
