count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen
0	ABBA01241351.1	193	769	0	769	+	6.2e-106	551
0	ABSL01104307.1	193	769	0	769	+	6.2e-106	551
0	ABBA01204511.1	1	790	0	794	+	1.7e-89	765
0	ABSL01150150.1	1	790	0	794	+	1.7e-89	765
0	ABBA01250610.1	1	555	0	847	+	8.2e-76	537
0	ABSL01092539.1	1	555	0	847	+	8.2e-76	537
0	ABBA01078021.1	392	1	0	796	-	1.6e-59	366
0	ABSL01243510.1	392	1	0	796	-	1.6e-59	366
0	ABBA01095081.1	867	1266	467	1266	+	1.2e-54	365
0	ABSL01166674.1	867	1266	467	1266	+	1.2e-54	365
0	ABBA01092138.1	1	314	0	757	+	2.8e-53	307
0	ABSL01179967.1	1	314	0	757	+	2.8e-53	307
0	ABBA01128601.1	325	1	0	762	-	6.2e-51	296
0	ABSL01233304.1	325	1	0	762	-	6.2e-51	296
0	ABBA01218107.1	769	455	12	769	-	3.1e-37	302
0	ABSL01134520.1	769	455	12	769	-	3.1e-37	302
0	ABBA01238074.1	1	237	0	718	+	2.4e-35	220
0	ABSL01041239.1	1	237	0	718	+	2.4e-35	220
0	ABBA01253791.1	772	349	0	772	-	3.3e-35	398
0	ABSL01088683.1	772	349	0	772	-	3.3e-35	398
0	ABBA01081058.1	724	1061	293	1139	+	1e-34	290
0	ABSL01229904.1	724	1061	293	1139	+	1e-34	290
0	ABBA01254027.1	339	1	0	733	-	4.4e-33	316
0	ABSL01089170.1	339	1	0	733	-	4.4e-33	316
0	ABBA01079148.1	1057	1326	592	1326	+	2.9e-27	235
0	ABSL01238847.1	1057	1326	592	1326	+	2.9e-27	235
0	ABBA01189607.1	243	1	0	721	-	2.2e-24	221
0	ABSL01167097.1	243	1	0	721	-	2.2e-24	221
