count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	JH561393.1	169651	170574	169645	170602	+	1.1e-162	914	957
2	JH561393.1	169651	170574	169666	170602	+	1.1e-162	914	936
3	JH561418.1	2208004	2207081	2208028	2207050	-	5.4e-185	913	978
4	JH561418.1	2208004	2207081	2208010	2207050	-	5.4e-185	913	960
5	JH561418.1	2208004	2207081	2208004	2207050	-	5.4e-185	913	954
6	JH561418.1	1950557	1951483	1950551	1951505	+	7.9e-182	914	954
7	JH561418.1	1950557	1951483	1950572	1951505	+	7.9e-182	914	933
8	JH561418.1	2091185	2092113	2091169	2092117	+	2.1e-173	907	948
9	JH561418.1	2091185	2092113	2091184	2092117	+	2.1e-173	907	933
10	JH561418.1	2091185	2092113	2091223	2092117	+	2.1e-173	907	894
11	JH561418.1	2012750	2011825	2012760	2011815	-	6.1e-172	916	945
12	JH561418.1	2161835	2160907	2161833	2160897	-	1.4e-157	919	936
13	JH561418.1	2161835	2160907	2161797	2160897	-	1.4e-157	919	900
14	JH561691.1	288888	287969	288900	287937	-	2.4e-125	886	963
15	JH561691.1	151652	150730	151663	150679	-	8e-125	898	984
16	JH561691.1	77466	76564	77475	76482	-	1.4e-123	863	993
17	JH561691.1	77466	76564	77379	76482	-	1.4e-123	863	897
18	JH561691.1	244132	245043	244101	245046	+	4.6e-121	885	945
19	JH561691.1	393078	393994	393051	393996	+	5.6e-121	886	945
20	JH561691.1	85709	84786	85728	84783	-	8e-121	886	945
21	JH561691.1	41513	40595	41552	40595	-	2.2e-118	896	957
22	JH561691.1	41513	40595	41495	40595	-	2.2e-118	896	900
23	JH561691.1	41513	40595	41477	40595	-	2.2e-118	896	882
24	JH561691.1	463813	462887	463837	462856	-	1.7e-117	907	981
25	JH561691.1	372134	371212	372153	371208	-	4.9e-117	886	945
26	JH561691.1	173123	172205	173168	172196	-	2.6e-112	897	972
27	JH561691.1	173123	172205	173147	172196	-	2.6e-112	897	951
28	JH561691.1	483677	482758	483721	482761	-	1.4e-109	895	960
29	JH561691.1	483677	482758	483700	482761	-	1.4e-109	895	939
30	JH561727.1	622134	623042	622106	623069	+	5.1e-124	888	963
31	JH561727.1	851556	852469	851524	852472	+	4.1e-122	890	948
32	JH561727.1	851556	852469	851527	852472	+	4.1e-122	890	945
33	JH561727.1	851556	852469	851560	852472	+	4.1e-122	890	912
34	JH561727.1	557667	558540	557634	558600	+	8.4e-114	858	966
35	JH561727.1	373080	372202	373109	372173	-	3e-108	864	936
36	JH561727.1	659367	658471	659309	658358	-	1.1e-104	859	951
37	JH561727.1	515960	516874	515933	516875	+	7.6e-101	899	942
38	JH561727.1	515960	516874	515996	516875	+	7.6e-101	899	879
39	JH561727.1	428395	427483	428424	427482	-	2.8e-98	897	942
40	JH561727.1	531574	532488	531493	532489	+	4.2e-96	899	996
41	JH561727.1	531574	532488	531550	532489	+	4.2e-96	899	939
42	JH561727.1	629075	628161	629084	628145	-	1.9e-94	910	939
43	JH561727.1	443550	442656	443568	442620	-	1.4e-93	860	948
44	JH561727.1	649148	648231	649165	648181	-	5.2e-90	871	984
45	JH561727.1	357047	356150	357073	356131	-	9.1e-90	869	942
46	JH561727.1	357047	356150	357010	356131	-	9.1e-90	869	879
47	JH561746.1	141890	142815	141889	142840	+	6.2e-169	919	951
48	JH561746.1	141890	142815	141967	142840	+	6.2e-169	919	873
49	JH561746.1	112161	111235	112229	111209	-	1.8e-163	920	1020
50	JH561746.1	112161	111235	112166	111209	-	1.8e-163	920	957
51	JH561746.1	112161	111235	112145	111209	-	1.8e-163	920	936
52	JH561746.1	5989	5066	5989	5026	-	1.2e-130	914	963
53	JH561746.1	5989	5066	5953	5026	-	1.2e-130	914	927
54	JH561790.1	133291	134217	133284	134229	+	4.1e-179	921	945
55	JH561790.1	111228	112154	111221	112166	+	2.1e-178	921	945
56	JH561819.1	726759	727674	726765	727695	+	7.6e-187	912	930
57	JH561819.1	878154	877244	878176	877219	-	6.2e-186	910	957
58	JH561819.1	878154	877244	878152	877219	-	6.2e-186	910	933
59	JH561819.1	692888	693796	692878	693826	+	1.5e-185	910	948
60	JH561819.1	64121	65039	64112	65051	+	5.4e-185	922	939
61	JH561819.1	64121	65039	64121	65051	+	5.4e-185	922	930
62	JH561819.1	520813	521730	520804	521743	+	1.6e-184	920	939
63	JH561819.1	520813	521730	520813	521743	+	1.6e-184	920	930
64	JH561819.1	1006782	1005866	1006782	1005870	-	6.7e-184	909	912
65	JH561819.1	476581	475664	476590	475651	-	1.4e-183	915	939
66	JH561819.1	476581	475664	476581	475651	-	1.4e-183	915	930
67	JH561819.1	1428901	1427984	1428901	1427962	-	1.6e-183	916	939
68	JH561819.1	1298540	1297632	1298662	1297612	-	2.6e-183	909	1050
69	JH561819.1	1298540	1297632	1298563	1297612	-	2.6e-183	909	951
70	JH561819.1	1298540	1297632	1298539	1297612	-	2.6e-183	909	927
71	JH561819.1	489218	488304	489296	488291	-	3.9e-183	914	1005
72	JH561819.1	489218	488304	489227	488291	-	3.9e-183	914	936
73	JH561819.1	489218	488304	489218	488291	-	3.9e-183	914	927
74	JH561819.1	489218	488304	489200	488291	-	3.9e-183	914	909
75	JH561819.1	1154956	1154046	1154977	1154026	-	6.3e-183	907	951
76	JH561819.1	1154956	1154046	1154953	1154026	-	6.3e-183	907	927
77	JH561819.1	1154956	1154046	1154902	1154026	-	6.3e-183	907	876
78	JH561819.1	158964	159883	158965	159904	+	1.8e-182	925	939
79	JH561819.1	632661	631743	632756	631730	-	2e-180	924	1026
80	JH561819.1	632661	631743	632660	631730	-	2e-180	924	930
81	JH561819.1	924191	923272	924189	923250	-	4.5e-177	914	939
82	JH561819.1	954370	953455	954386	953441	-	8.7e-177	911	945
83	JH561819.1	954370	953455	954371	953441	-	8.7e-177	911	930
84	JH561819.1	954370	953455	954362	953441	-	8.7e-177	911	921
85	JH561819.1	811097	810181	811121	810167	-	1.3e-172	911	954
86	JH561819.1	811097	810181	811097	810167	-	1.3e-172	911	930
87	JH561819.1	334626	333716	334633	333718	-	5.5e-165	910	915
88	JH561819.1	853917	853002	853950	852987	-	3.2e-163	919	963
89	JH561819.1	853917	853002	853917	852987	-	3.2e-163	919	930
90	JH561819.1	440847	439930	440846	439928	-	9.4e-159	917	918
91	JH561819.1	218107	217192	218107	217192	-	8.2e-156	914	915
92	JH561819.1	218107	217192	218101	217192	-	8.2e-156	914	909
93	JH561823.1	11683	10756	11688	10746	-	2.1e-203	920	942
94	JH561834.1	75767	76690	75758	76709	+	1e-193	915	951
95	JH561834.1	10466	9543	10475	9527	-	2.1e-180	907	948
96	JH561834.1	10466	9543	10430	9527	-	2.1e-180	907	903
97	JH561878.1	119660	118732	119682	118710	-	4.9e-175	922	972
98	JH561878.1	119660	118732	119658	118710	-	4.9e-175	922	948
99	JH561936.1	580210	579282	580208	579269	-	1.1e-176	921	939
100	JH561936.1	580210	579282	580187	579269	-	1.1e-176	921	918
101	JH561936.1	815344	814421	815446	814417	-	4.4e-174	908	1029
102	JH561936.1	815344	814421	815422	814417	-	4.4e-174	908	1005
103	JH561936.1	815344	814421	815350	814417	-	4.4e-174	908	933
104	JH561942.1	455577	456499	455571	456510	+	1.4e-112	889	939
105	JH561942.1	335446	336374	335435	336374	+	2.8e-111	903	939
106	JH561942.1	345285	346200	345255	346209	+	1.4e-108	889	954
107	JH561942.1	359871	360764	359794	360793	+	1.5e-108	860	999
108	JH561942.1	359871	360764	359806	360793	+	1.5e-108	860	987
109	JH561942.1	359871	360764	359845	360793	+	1.5e-108	860	948
110	JH561942.1	528490	529387	528464	529412	+	1.3e-107	860	948
111	JH561942.1	538700	539607	538684	539632	+	2.3e-107	861	948
112	JH561942.1	405519	406434	405489	406443	+	1.7e-104	899	954
113	JH561942.1	432450	433356	432433	433381	+	3.9e-104	860	948
114	JH561942.1	92389	91472	92389	91450	-	5.7e-103	890	939
