count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen
0	JAAFGN010210125.1	840	108	0	840	-	1.9e-165	702
0	JAAFGN010218577.1	664	1	0	664	-	3.1e-159	665
0	JAAFGN010224241.1	574	1	0	574	-	4.4e-142	572
0	JAAFGN010019499.1	1	537	0	868	+	6.4e-126	529
0	JAAFGN010210773.1	822	1	0	825	-	3.6e-117	822
0	JAAFGN010110238.1	1	504	0	852	+	8.6e-109	474
0	JAAFGN010107403.1	4466	3947	3607	4466	-	8.1e-106	489
0	JAAFGN010026591.1	23056	23497	22677	23497	+	9.2e-98	416
0	JAAFGN010038391.1	522	1	0	861	-	3.1e-92	534
0	JAAFGN010065580.1	8793	9314	8454	9314	+	6.2e-91	534
0	JAAFGN010220598.1	631	2	0	631	-	1.9e-90	637
0	JAAFGN010112596.1	3727	4177	3352	4177	+	3.8e-90	457
0	JAAFGN010219098.1	1	642	0	656	+	1.1e-89	644
0	JAAFGN010013626.1	36408	36858	36033	36858	+	1.5e-89	457
0	JAAFGN010217778.1	4	678	0	678	+	1.4e-87	662
0	JAAFGN010182880.1	1009	1482	646	1482	+	7.8e-87	478
0	JAAFGN010207347.1	395	1	0	797	-	8.6e-87	373
0	JAAFGN010205888.1	548	942	145	942	+	3.3e-86	373
0	JAAFGN010031890.1	19846	20298	19472	20298	+	1.5e-85	430
0	JAAFGN010064574.1	457	1	0	828	-	2.8e-83	433
0	JAAFGN010021427.1	486	2	0	843	-	2.8e-81	488
0	JAAFGN010001939.1	86690	86251	85871	86690	-	3.9e-81	415
0	JAAFGN010133737.1	410	1	0	805	-	7.6e-80	393
0	JAAFGN010218007.1	1	392	0	674	+	4.3e-78	370
0	JAAFGN010210142.1	2	725	0	840	+	2.8e-75	712
0	JAAFGN010210221.1	2	725	0	838	+	1.6e-74	712
0	JAAFGN010229786.1	500	1	0	500	-	5.6e-73	502
0	JAAFGN010223545.1	2	585	0	585	+	2.4e-72	579
0	JAAFGN010226767.1	539	1	0	539	-	5.6e-71	537
0	JAAFGN010016748.1	1	345	0	772	+	1.8e-70	313
0	JAAFGN010143697.1	2711	2366	1939	2711	-	3.5e-70	313
0	JAAFGN010227069.1	532	2	0	535	-	2e-69	523
0	JAAFGN010037004.1	17770	17406	16988	17770	-	2e-68	334
0	JAAFGN010090032.1	5786	5299	4943	5786	-	1.8e-66	471
0	JAAFGN010225187.1	560	1	0	560	-	5.1e-66	559
0	JAAFGN010051404.1	12725	12262	11894	12725	-	1.2e-64	450
0	JAAFGN010218387.1	567	1	0	667	-	2.6e-63	548
0	JAAFGN010007021.1	52149	51823	51386	52149	-	8.7e-63	297
0	JAAFGN010227998.1	1	509	0	522	+	1e-62	492
0	JAAFGN010123492.1	3600	3232	2816	3600	-	9.8e-60	343
0	JAAFGN010224948.1	1	279	0	564	+	1.5e-55	261
0	JAAFGN010097072.1	5112	4826	4369	5112	-	8e-54	258
0	JAAFGN010030144.1	450	1	0	825	-	1.2e-53	436
0	JAAFGN010103859.1	1	289	0	744	+	2.7e-53	259
0	JAAFGN010071304.1	7775	8269	7422	8271	+	4.9e-53	453
0	JAAFGN010198196.1	869	1149	409	1149	+	5.7e-53	258
0	JAAFGN010210147.1	837	438	38	840	-	1.1e-52	377
0	JAAFGN010060325.1	9980	10415	9598	10415	+	1.8e-52	411
0	JAAFGN010198819.1	850	1130	390	1130	+	1.9e-52	258
0	JAAFGN010123343.1	1	517	0	858	+	2e-51	495
0	JAAFGN010088873.1	1	374	0	787	+	2.5e-50	355
0	JAAFGN010181030.1	1	374	0	787	+	6.1e-50	354
0	JAAFGN010117748.1	3407	3895	3051	3895	+	6.4e-48	483
0	JAAFGN010035072.1	1	414	0	807	+	1.5e-47	389
0	JAAFGN010057456.1	1	414	0	807	+	2e-46	393
0	JAAFGN010219856.1	213	642	0	642	+	4.3e-45	415
0	JAAFGN010174589.1	1690	1303	897	1690	-	4.5e-45	374
0	JAAFGN010132642.1	254	1	0	727	-	2e-44	223
0	JAAFGN010123492.1	249	1	0	724	-	1.1e-43	222
0	JAAFGN010225574.1	555	299	0	555	-	5.4e-41	237
0	JAAFGN010167854.1	1879	1640	1160	1879	-	1.1e-38	210
0	JAAFGN010170560.1	1546	1802	1074	1802	+	1.4e-34	233
0	JAAFGN010167448.1	331	1	0	765	-	1e-33	286
0	JAAFGN010195141.1	919	1223	471	1223	+	1.4e-32	284
0	JAAFGN010076911.1	2	285	0	743	+	8.5e-29	262
0	JAAFGN010124780.1	2	290	0	745	+	2.8e-28	267
0	JAAFGN010124780.1	3228	3536	2782	3536	+	8.6e-26	280
0	JAAFGN010031782.1	8	343	0	775	+	3.8e-25	307
0	JAAFGN010099306.1	1	182	0	691	+	4.8e-25	149
0	JAAFGN010116383.1	3966	3753	3260	3966	-	5e-25	193
0	JAAFGN010097474.1	5077	4742	4310	5084	-	2.5e-24	307
0	JAAFGN010197118.1	892	1180	436	1180	+	7.2e-24	274
0	JAAFGN010057456.1	10796	11101	10349	11101	+	1.1e-23	280
0	JAAFGN010199728.1	816	1104	360	1104	+	3.4e-23	274
0	JAAFGN010210619.1	572	829	101	829	+	6.9e-22	254
0	JAAFGN010015426.1	205	1	0	702	-	3.7e-21	182
