count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	NC_049979.1	14662922	14663823	14662804	14663956	+	1.3e-103	863	1152
2	NC_049979.1	14662922	14663823	14662813	14663956	+	1.3e-103	863	1143
3	NC_049979.1	14662922	14663823	14662897	14663956	+	1.3e-103	863	1059
4	NC_049980.1	418321	417500	418342	417433	-	2.5e-57	768	909
5	NC_049982.1	9421191	9422137	9421150	9422194	+	1.5e-174	920	1044
6	NC_049986.1	10473656	10474569	10473550	10474669	+	1.2e-95	880	1119
7	NC_049986.1	10473656	10474569	10473565	10474669	+	1.2e-95	880	1104
8	NC_049986.1	10473656	10474569	10473721	10474669	+	1.2e-95	880	948
9	NC_049986.1	10473656	10474569	10473745	10474669	+	1.2e-95	880	924
10	NC_049997.1	15570925	15570020	15570970	15569956	-	3.2e-70	876	1014
