count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	JAAFGN010000547.1	125405	124665	125408	124454	-	8.5e-58	730	954
2	JAAFGN010000547.1	125405	124665	125405	124454	-	8.5e-58	730	951
3	JAAFGN010000547.1	125405	124665	125381	124454	-	8.5e-58	730	927
4	JAAFGN010000661.1	90020	89175	90112	89176	-	1.8e-88	831	936
5	JAAFGN010000661.1	90020	89175	90103	89176	-	1.8e-88	831	927
6	JAAFGN010000661.1	25382	24583	25505	24560	-	3.5e-78	759	945
7	JAAFGN010000661.1	25382	24583	25466	24560	-	3.5e-78	759	906
8	JAAFGN010000661.1	33790	32949	33884	32903	-	1.8e-77	820	981
9	JAAFGN010000661.1	33790	32949	33845	32903	-	1.8e-77	820	942
10	JAAFGN010000661.1	33790	32949	33800	32903	-	1.8e-77	820	897
11	JAAFGN010000661.1	8910	8100	9005	8042	-	4.9e-75	791	963
12	JAAFGN010000661.1	8910	8100	8966	8042	-	4.9e-75	791	924
13	JAAFGN010000661.1	14233	13406	14328	13353	-	7.2e-75	792	975
14	JAAFGN010000661.1	14233	13406	14289	13353	-	7.2e-75	792	936
15	JAAFGN010000661.1	38799	37990	38894	37949	-	2.8e-73	790	945
16	JAAFGN010000661.1	58565	57754	58659	57696	-	4.6e-71	806	963
17	JAAFGN010000661.1	58565	57754	58590	57696	-	4.6e-71	806	894
18	JAAFGN010000661.1	86397	85603	86525	85544	-	7.5e-70	754	981
19	JAAFGN010000661.1	54273	53513	54416	53486	-	5.2e-65	754	930
20	JAAFGN010000661.1	54273	53513	54377	53486	-	5.2e-65	754	891
21	JAAFGN010001080.1	6672	7599	6648	7629	+	1.4e-144	905	981
22	JAAFGN010001080.1	14879	13953	14897	13949	-	3.9e-88	922	948
23	JAAFGN010001080.1	31517	32426	31503	32487	+	5e-78	871	984
24	JAAFGN010001080.1	31517	32426	31533	32487	+	5e-78	871	954
25	JAAFGN010001080.1	31517	32426	31605	32487	+	5e-78	871	882
26	JAAFGN010001080.1	27056	27918	26994	27954	+	1.9e-71	830	960
27	JAAFGN010001080.1	27056	27918	27024	27954	+	1.9e-71	830	930
28	JAAFGN010001080.1	89752	90489	89751	90681	+	1.7e-63	729	930
29	JAAFGN010001080.1	89752	90489	89775	90681	+	1.7e-63	729	906
30	JAAFGN010001080.1	38485	37558	38485	37561	-	1.2e-61	905	924
31	JAAFGN010001080.1	84307	85230	84195	85257	+	1.4e-60	919	1062
32	JAAFGN010001080.1	84307	85230	84303	85257	+	1.4e-60	919	954
33	JAAFGN010001080.1	84307	85230	84306	85257	+	1.4e-60	919	951
34	JAAFGN010001080.1	84307	85230	84330	85257	+	1.4e-60	919	927
35	JAAFGN010001080.1	50826	51644	50764	51688	+	5.8e-53	782	924
36	JAAFGN010001080.1	50826	51644	50794	51688	+	5.8e-53	782	894
37	JAAFGN010001080.1	70443	71287	70359	71292	+	1.5e-45	811	933
38	JAAFGN010001080.1	64755	65580	64665	65577	+	5.4e-45	795	912
39	JAAFGN010001080.1	58925	59651	58924	59857	+	2.9e-44	724	933
40	JAAFGN010001080.1	54383	55033	54298	55231	+	1.9e-39	617	933
41	JAAFGN010001080.1	76898	77741	76734	77745	+	2.5e-38	822	1011
42	JAAFGN010001080.1	76898	77741	76812	77745	+	2.5e-38	822	933
43	JAAFGN010001080.1	76898	77741	76866	77745	+	2.5e-38	822	879
44	JAAFGN010001157.1	64032	63107	64051	63103	-	2.3e-117	911	948
45	JAAFGN010001157.1	56884	55961	56905	55939	-	2.5e-117	905	966
46	JAAFGN010001157.1	69193	68271	69212	68279	-	2.9e-116	894	933
47	JAAFGN010001157.1	25048	24126	25085	24119	-	2.9e-113	902	966
48	JAAFGN010001157.1	25048	24126	25067	24119	-	2.9e-113	902	948
49	JAAFGN010001157.1	29418	28495	29439	28473	-	5.9e-110	908	966
50	JAAFGN010001157.1	20737	19812	20765	19808	-	1.7e-109	910	957
51	JAAFGN010001157.1	20737	19812	20756	19808	-	1.7e-109	910	948
52	JAAFGN010001157.1	14839	13914	14867	13910	-	4e-109	911	957
53	JAAFGN010001157.1	14839	13914	14858	13910	-	4e-109	911	948
54	JAAFGN010001157.1	37331	36412	37356	36390	-	3.6e-108	904	966
55	JAAFGN010001157.1	6111	5185	6144	5181	-	6.8e-107	911	963
56	JAAFGN010001157.1	6111	5185	6129	5181	-	6.8e-107	911	948
57	JAAFGN010001157.1	72326	71401	72356	71396	-	1.2e-105	909	960
58	JAAFGN010001157.1	72326	71401	72344	71396	-	1.2e-105	909	948
59	JAAFGN010001157.1	49531	48609	49553	48608	-	1.1e-103	909	945
60	JAAFGN010001157.1	82149	81222	82174	81217	-	1.4e-103	909	957
61	JAAFGN010001157.1	44172	43250	44194	43228	-	9.7e-98	906	966
62	JAAFGN010001157.1	1939	1014	1967	1010	-	4.8e-89	907	957
63	JAAFGN010001627.1	7677	8415	7673	8627	+	3.1e-59	728	954
64	JAAFGN010001627.1	7677	8415	7676	8627	+	3.1e-59	728	951
65	JAAFGN010001627.1	7677	8415	7700	8627	+	3.1e-59	728	927
66	JAAFGN010002669.1	16025	16945	15989	16982	+	3.9e-96	908	993
67	JAAFGN010002669.1	16025	16945	16064	16982	+	3.9e-96	908	918
68	JAAFGN010002669.1	77071	77991	77035	78028	+	1.5e-92	908	993
69	JAAFGN010002669.1	77071	77991	77110	78028	+	1.5e-92	908	918
70	JAAFGN010002669.1	77071	77991	77134	78028	+	1.5e-92	908	894
71	JAAFGN010002669.1	71164	72056	71127	72120	+	4.2e-91	867	993
72	JAAFGN010002669.1	71164	72056	71202	72120	+	4.2e-91	867	918
73	JAAFGN010002790.1	31232	30432	31355	30380	-	1.8e-77	759	975
74	JAAFGN010002790.1	31232	30432	31316	30380	-	1.8e-77	759	936
75	JAAFGN010002790.1	22804	21977	22899	21918	-	2.6e-76	787	981
76	JAAFGN010002790.1	22804	21977	22863	21918	-	2.6e-76	787	945
77	JAAFGN010002790.1	22804	21977	22860	21918	-	2.6e-76	787	942
78	JAAFGN010002790.1	39512	38734	39655	38710	-	4.9e-73	757	945
79	JAAFGN010002790.1	39512	38734	39616	38710	-	4.9e-73	757	906
80	JAAFGN010002872.1	18576	19502	18575	19514	+	2.2e-49	911	939
